field,raw_dtype,n_unique,missing_fraction,feature_block,source_or_derivation,predictive_input
chemical_id,object,841,0.0,"identifier, target, or audit-only field",ECOTOX record metadata,False
chemical_name,object,841,0.0,"identifier, target, or audit-only field",ECOTOX record metadata,False
casrn,int64,841,0.0,"identifier, target, or audit-only field",ECOTOX record metadata,False
dtxsid,object,838,0.003237555645487657,"identifier, target, or audit-only field",DSSTox/CompTox structure linkage,False
smiles,object,837,0.0,chemical fingerprint,DSSTox/CompTox structure linkage,True
inchikey,object,829,0.006070416835289356,"identifier, target, or audit-only field",DSSTox/CompTox structure linkage,False
endpoint,object,3,0.0,experimental context,ECOTOX study/taxon context curation,True
endpoint_code,object,2,0.0,"identifier, target, or audit-only field",ECOTOX value/end-point curation,False
effect,object,9,0.0,"identifier, target, or audit-only field",ECOTOX value/end-point curation,False
measurement,object,31,0.0,"identifier, target, or audit-only field",ECOTOX value/end-point curation,False
species,object,196,0.0,species/taxonomy,ECOTOX study/taxon context curation,True
common_name,object,122,0.0,"identifier, target, or audit-only field",ECOTOX record metadata,False
phylum,object,8,0.0004046944556859571,species/taxonomy,ECOTOX study/taxon context curation,True
class_name,object,12,0.0012140833670578712,species/taxonomy,ECOTOX study/taxon context curation,True
order,object,31,0.0012140833670578712,species/taxonomy,ECOTOX study/taxon context curation,True
family,object,64,0.0012140833670578712,species/taxonomy,ECOTOX study/taxon context curation,True
genus,object,118,0.00141643059490085,species/taxonomy,ECOTOX study/taxon context curation,True
species_group,object,9,0.0,"identifier, target, or audit-only field",ECOTOX study/taxon context curation,False
duration_h,float64,11,0.0,experimental context,ECOTOX study/taxon context curation,True
medium,object,3,0.0,experimental context,ECOTOX study/taxon context curation,True
temperature_c,float64,118,0.5339943342776204,experimental context,ECOTOX study/taxon context curation,True
ph,float64,129,0.7869283690813436,experimental context,ECOTOX study/taxon context curation,True
ctx_hardness,float64,164,0.8690813435855929,experimental context,ECOTOX study/taxon context curation,True
study_year,int64,54,0.0,experimental context,ECOTOX study/taxon context curation,True
doi,object,387,0.6058276001618778,"identifier, target, or audit-only field",ECOTOX record metadata,False
source,object,1,0.0,"identifier, target, or audit-only field",ECOTOX record metadata,False
structure_source,object,3,0.0,"identifier, target, or audit-only field",DSSTox/CompTox structure linkage,False
chemical_class,object,34,0.0,"identifier, target, or audit-only field",curation and audit derivation,False
toxicity_value,float64,2234,0.0,"identifier, target, or audit-only field",ECOTOX value/end-point curation,False
toxicity_unit,object,18,0.0,"identifier, target, or audit-only field",ECOTOX value/end-point curation,False
molar_concentration,float64,4553,0.0,"identifier, target, or audit-only field",ECOTOX value/end-point curation,False
target_log_molar,float64,4550,0.0,"identifier, target, or audit-only field",ECOTOX value/end-point curation,False
physchem_mol_wt,float64,739,0.0,physicochemical descriptor,DSSTox/CompTox physicochemical linkage or structure-derived value,True
physchem_logp,float64,15,0.9878591663294213,physicochemical descriptor,DSSTox/CompTox physicochemical linkage or structure-derived value,True
mech_cytotox_hit_rate,float64,162,0.264063132335087,bioactivity proxy,invitrodb/ToxCast summary linkage,True
mech_cytotox_lower_log10_um,float64,215,0.22784297855119384,bioactivity proxy,invitrodb/ToxCast summary linkage,True
mech_cytotox_lower_um,float64,215,0.22784297855119384,bioactivity proxy,invitrodb/ToxCast summary linkage,True
mech_cytotox_median_log10_um,float64,215,0.22784297855119384,bioactivity proxy,invitrodb/ToxCast summary linkage,True
mech_cytotox_median_um,float64,215,0.22784297855119384,bioactivity proxy,invitrodb/ToxCast summary linkage,True
mech_cytotox_nhit,float64,72,0.22784297855119384,bioactivity proxy,invitrodb/ToxCast summary linkage,True
mech_cytotox_ntested,float64,19,0.22784297855119384,bioactivity proxy,invitrodb/ToxCast summary linkage,True
mech_feature_count,float64,20,0.21671388101983002,bioactivity proxy,invitrodb/ToxCast summary linkage,True
mech_h295r_active_endpoint_count,float64,12,0.6726021853500607,bioactivity proxy,invitrodb/ToxCast summary linkage,True
mech_h295r_andr_max_abs,float64,147,0.6726021853500607,bioactivity proxy,invitrodb/ToxCast summary linkage,True
mech_h295r_bmd_min,float64,126,0.6726021853500607,bioactivity proxy,invitrodb/ToxCast summary linkage,True
mech_h295r_cort_max_abs,float64,147,0.6726021853500607,bioactivity proxy,invitrodb/ToxCast summary linkage,True
mech_h295r_cortic_max_abs,float64,141,0.6726021853500607,bioactivity proxy,invitrodb/ToxCast summary linkage,True
mech_h295r_critical_val,float64,6,0.6726021853500607,bioactivity proxy,invitrodb/ToxCast summary linkage,True
mech_h295r_doc_max_abs,float64,147,0.6726021853500607,bioactivity proxy,invitrodb/ToxCast summary linkage,True
mech_h295r_e1_max_abs,float64,147,0.6726021853500607,bioactivity proxy,invitrodb/ToxCast summary linkage,True
mech_h295r_e2_max_abs,float64,143,0.6726021853500607,bioactivity proxy,invitrodb/ToxCast summary linkage,True
mech_h295r_maxmmd_max,float64,147,0.6726021853500607,bioactivity proxy,invitrodb/ToxCast summary linkage,True
mech_h295r_mean_abs,float64,147,0.6726021853500607,bioactivity proxy,invitrodb/ToxCast summary linkage,True
mech_h295r_mmd_max,float64,147,0.6726021853500607,bioactivity proxy,invitrodb/ToxCast summary linkage,True
mech_h295r_ohpreg_max_abs,float64,139,0.6726021853500607,bioactivity proxy,invitrodb/ToxCast summary linkage,True
mech_h295r_ohprog_max_abs,float64,147,0.6726021853500607,bioactivity proxy,invitrodb/ToxCast summary linkage,True
